Release Date,Time,Actual,Forecast,Previous
4-Nov-15,10:30,2.847M,2.787M,3.376M
28-Oct-15,9:30,3.376M,3.417M,8.028M
21-Oct-15,9:30,8.028M,3.867M,7.562M
15-Oct-15,10:00,7.562M,2.848M,3.073M
7-Oct-15,9:30,3.073M,2.200M,3.955M
30-Sep-15,9:30,3.955M,0.102M,-1.925M
23-Sep-15,9:30,-1.925M,-0.533M,-2.104M
16-Sep-15,9:30,-2.104M,1.173M,2.570M
10-Sep-15,10:00,2.570M,0.933M,4.667M
2-Sep-15,9:30,4.667M,0.032M,-5.452M
26-Aug-15,9:30,-5.452M,1.022M,2.620M
19-Aug-15,9:30,2.620M,-0.777M,-1.682M
12-Aug-15,9:30,-1.682M,-1.817M,-4.407M
5-Aug-15,9:30,-4.407M,-1.494M,-4.203M
29-Jul-15,9:30,-4.203M,-0.184M,2.468M
22-Jul-15,9:30,2.468M,-2.258M,-4.346M
15-Jul-15,9:30,-4.346M,-1.158M,0.384M
8-Jul-15,9:30,0.384M,-0.700M,2.386M
1-Jul-15,9:30,2.386M,-2.000M,-4.934M
24-Jun-15,9:30,-4.934M,-2.100M,-2.676M
17-Jun-15,9:30,-2.676M,-1.657M,-6.812M
10-Jun-15,9:30,-6.812M,-1.720M,-1.948M
3-Jun-15,9:30,-1.948M,-1.700M,-2.802M
28-May-15,10:00,-2.802M,-0.857M,-2.674M
20-May-15,9:30,-2.674M,-1.029M,-2.191M
13-May-15,9:30,-2.191M,0.386M,-3.882M
6-May-15,9:30,-3.882M,1.500M,1.910M
29-Apr-15,9:30,1.910M,2.300M,5.315M
22-Apr-15,9:30,5.315M,2.888M,1.294M
15-Apr-15,9:30,1.294M,4.057M,10.949M
8-Apr-15,9:30,10.949M,3.429M,4.766M
1-Apr-15,9:30,4.766M,4.193M,8.170M
25-Mar-15,9:30,8.170M,5.133M,9.622M
18-Mar-15,9:30,9.622M,3.750M,4.512M
11-Mar-15,9:30,4.512M,4.436M,10.303M
4-Mar-15,10:30,10.303M,4.157M,8.427M
25-Feb-15,10:30,8.427M,3.983M,7.716M
19-Feb-15,11:00,7.716M,3.233M,4.868M
11-Feb-15,10:30,4.868M,3.733M,6.333M
4-Feb-15,10:30,6.333M,3.467M,8.874M
28-Jan-15,10:30,8.874M,4.080M,10.071M
22-Jan-15,11:00,10.071M,2.617M,5.389M
14-Jan-15,10:30,5.389M,0.417M,-3.062M
7-Jan-15,10:30,-3.062M,0.880M,-1.754M
31-Dec-14,10:30,-1.754M,-0.070M,7.267M
24-Dec-14,10:30,7.267M,-2.280M,-0.847M
17-Dec-14,10:30,-0.847M,-2.360M,1.454M
10-Dec-14,10:30,1.454M,-2.240M,-3.689M
3-Dec-14,10:30,-3.689M,1.300M,1.946M
26-Nov-14,10:30,1.946M,0.467M,2.608M
19-Nov-14,10:30,2.608M,-0.780M,-1.735M
13-Nov-14,11:00,-1.735M,0.750M,0.460M
5-Nov-14,10:30,0.460M,1.900M,2.061M
29-Oct-14,9:30,2.061M,3.371M,7.111M
22-Oct-14,9:30,7.111M,2.686M,8.923M
16-Oct-14,10:00,8.923M,2.783M,5.015M
8-Oct-14,9:30,5.015M,1.533M,-1.363M
1-Oct-14,9:30,-1.363M,0.700M,-4.273M
24-Sep-14,9:30,-4.273M,0.386M,3.673M
17-Sep-14,9:30,3.673M,-1.614M,-0.972M
10-Sep-14,9:30,-0.972M,-1.114M,-0.905M
4-Sep-14,10:00,-0.905M,-1.113M,-2.070M
27-Aug-14,9:30,-2.070M,-1.286M,-4.474M
20-Aug-14,9:30,-4.474M,-1.163M,1.401M
13-Aug-14,9:30,1.401M,-2.029M,-1.756M
6-Aug-14,9:30,-1.756M,-1.711M,-3.697M
30-Jul-14,9:30,-3.697M,-1.471M,-3.969M
23-Jul-14,9:30,-3.969M,-2.786M,-7.525M
16-Jul-14,9:30,-7.525M,-2.086M,-2.370M
9-Jul-14,9:30,-2.370M,-2.150M,-3.155M
2-Jul-14,9:30,-3.155M,-2.229M,1.742M
25-Jun-14,9:30,1.742M,-1.557M,-0.579M
18-Jun-14,9:30,-0.579M,-0.650M,-2.596M
11-Jun-14,9:30,-2.596M,-1.871M,-3.431M
4-Jun-14,9:30,-3.431M,-0.271M,1.657M
29-May-14,10:00,1.657M,0.483M,-7.226M
21-May-14,9:30,-7.226M,0.750M,0.947M
14-May-14,9:30,0.947M,-0.100M,-1.781M
7-May-14,9:30,-1.781M,1.417M,1.698M
30-Apr-14,9:30,1.698M,2.367M,3.524M
23-Apr-14,9:30,3.524M,2.275M,10.013M
16-Apr-14,9:30,10.013M,2.250M,4.030M
9-Apr-14,9:30,4.030M,1.329M,-2.379M
2-Apr-14,9:30,-2.379M,1.086M,6.619M
26-Mar-14,9:30,6.619M,2.743M,5.850M
19-Mar-14,9:30,5.850M,2.608M,6.180M
12-Mar-14,9:30,6.180M,2.150M,1.429M
5-Mar-14,10:30,1.429M,1.333M,0.068M
26-Feb-14,10:30,0.068M,1.236M,0.973M
20-Feb-14,11:00,0.973M,2.013M,3.267M
12-Feb-14,10:30,3.267M,2.650M,0.440M
5-Feb-14,10:30,0.440M,2.300M,6.421M
29-Jan-14,10:30,6.421M,2.338M,0.990M
23-Jan-14,11:00,0.990M,0.588M,-7.658M
15-Jan-14,10:30,-7.658M,-0.613M,-2.675M
8-Jan-14,10:30,-2.675M,-0.894M,-7.007M
3-Jan-14,11:00,-7.007M,-2.975M,-4.731M
27-Dec-13,11:00,-4.731M,-2.320M,-2.941M
18-Dec-13,10:30,-2.941M,-2.300M,-10.585M
11-Dec-13,10:30,-10.585M,-2.950M,-5.585M
4-Dec-13,10:30,-5.585M,-0.500M,2.953M
27-Nov-13,10:30,2.953M,0.606M,0.375M
20-Nov-13,10:30,0.375M,0.900M,2.640M
14-Nov-13,11:00,2.640M,0.994M,1.577M
6-Nov-13,10:30,1.577M,1.631M,4.087M
30-Oct-13,9:30,4.087M,2.233M,5.246M
23-Oct-13,9:30,5.246M,2.938M,3.999M
21-Oct-13,9:30,3.999M,2.164M,6.807M
9-Oct-13,9:30,6.807M,1.486M,5.472M
2-Oct-13,9:30,5.472M,2.265M,2.635M
25-Sep-13,9:30,2.635M,-1.129M,-4.368M
18-Sep-13,9:30,-4.368M,-1.394M,-0.219M
11-Sep-13,9:30,-0.219M,-1.500M,-1.836M
5-Sep-13,10:00,-1.836M,-1.263M,2.986M
28-Aug-13,9:30,2.986M,0.200M,-1.428M
21-Aug-13,9:30,-1.428M,-0.957M,-2.812M
14-Aug-13,9:30,-2.812M,-1.511M,-1.320M
7-Aug-13,9:30,-1.320M,-1.238M,0.431M
31-Jul-13,9:30,0.431M,-2.306M,-2.825M
24-Jul-13,9:30,-2.825M,-2.456M,-6.902M
17-Jul-13,9:30,-6.902M,-2.007M,-9.874M
10-Jul-13,9:30,-9.874M,-3.300M,-10.347M
3-Jul-13,9:30,-10.347M,-2.317M,0.018M
26-Jun-13,9:30,0.018M,-1.690M,0.313M
19-Jun-13,9:30,0.313M,-0.544M,2.523M
12-Jun-13,9:30,2.523M,-0.722M,-6.267M
5-Jun-13,9:30,-6.267M,-0.356M,3.000M
30-May-13,10:00,3.000M,-0.350M,-0.338M
22-May-13,9:30,-0.338M,-0.778M,-0.624M
15-May-13,9:30,-0.624M,0.330M,0.230M
8-May-13,9:30,0.230M,1.905M,6.696M
1-May-13,9:30,6.696M,1.013M,0.947M
24-Apr-13,9:30,0.947M,1.513M,-1.233M
17-Apr-13,9:30,-1.233M,1.350M,0.250M
10-Apr-13,9:30,0.250M,1.400M,2.707M
3-Apr-13,9:30,2.707M,2.200M,3.256M
27-Mar-13,9:30,3.256M,0.705M,-1.314M
20-Mar-13,9:30,-1.314M,2.017M,2.624M
13-Mar-13,9:30,2.624M,2.338M,3.833M
6-Mar-13,10:30,3.833M,0.526M,1.130M
27-Feb-13,10:30,1.130M,2.413M,4.143M
21-Feb-13,11:00,4.143M,1.800M,0.560M
13-Feb-13,10:30,0.560M,2.350M,2.623M
6-Feb-13,10:30,2.623M,2.771M,5.947M
30-Jan-13,10:30,5.947M,2.583M,2.813M
24-Jan-13,11:00,2.813M,1.750M,-0.951M
16-Jan-13,10:30,-0.951M,2.271M,1.314M
9-Jan-13,10:30,1.314M,1.469M,-11.120M
4-Jan-13,11:00,-11.120M,-0.919M,-0.586M
28-Dec-12,11:00,-0.586M,-1.857M,-0.964M
19-Dec-12,10:30,-0.964M,-1.122M,0.843M
12-Dec-12,10:30,0.843M,-2.343M,-2.357M
5-Dec-12,10:30,-2.357M,-0.322M,-0.347M
28-Nov-12,10:30,-0.347M,0.317M,-1.466M
21-Nov-12,10:30,-1.466M,0.940M,1.089M
15-Nov-12,11:00,1.089M,1.943M,1.766M
7-Nov-12,10:30,1.766M,1.810M,-2.045M
1-Nov-12,10:00,-2.045M,1.506M,5.896M
24-Oct-12,9:30,5.896M,1.886M,2.860M
17-Oct-12,9:30,2.860M,1.675M,1.672M
11-Oct-12,10:00,1.672M,0.780M,-0.482M
3-Oct-12,9:30,-0.482M,1.535M,-2.446M
26-Sep-12,9:30,-2.446M,0.920M,8.534M
19-Sep-12,9:30,8.534M,1.000M,1.994M
12-Sep-12,9:30,1.994M,-2.588M,-7.426M
6-Sep-12,10:00,-7.426M,-5.325M,3.778M
29-Aug-12,9:30,3.778M,-1.480M,-5.412M
22-Aug-12,9:30,-5.412M,-0.413M,-3.699M
15-Aug-12,9:30,-3.699M,-1.730M,-3.729M
8-Aug-12,9:30,-3.729M,-0.267M,-6.522M
1-Aug-12,9:30,-6.522M,-0.709M,2.717M
25-Jul-12,9:30,2.717M,-0.650M,-0.809M
18-Jul-12,9:30,-0.809M,-1.150M,-4.696M
11-Jul-12,9:30,-4.696M,-1.156M,-4.270M
5-Jul-12,10:00,-4.270M,-1.929M,-0.133M
27-Jun-12,9:30,-0.133M,-0.450M,2.861M
20-Jun-12,9:30,2.861M,-1.110M,-0.191M
13-Jun-12,9:30,-0.191M,-1.411M,-0.111M
6-Jun-12,9:30,-0.111M,-0.488M,2.213M
31-May-12,10:00,2.213M,0.558M,0.883M
23-May-12,9:30,0.883M,0.950M,2.128M
16-May-12,9:30,2.128M,1.736M,3.652M
9-May-12,9:30,3.652M,1.971M,2.840M
2-May-12,9:30,2.840M,2.489M,3.978M
25-Apr-12,9:30,3.978M,2.650M,3.856M
18-Apr-12,9:30,3.856M,1.363M,2.791M
11-Apr-12,9:30,2.791M,2.125M,9.009M
4-Apr-12,9:30,9.009M,2.214M,7.102M
28-Mar-12,9:30,7.100M,2.500M,-1.200M
21-Mar-12,9:30,-1.200M,2.200M,1.800M
14-Mar-12,9:30,1.800M,2.000M,0.800M
7-Mar-12,10:30,0.800M,1.500M,4.200M
29-Feb-12,10:30,4.200M,1.200M,1.600M
23-Feb-12,11:00,1.600M,1.000M,-0.200M
15-Feb-12,10:30,-0.200M,1.700M,0.300M
8-Feb-12,10:30,0.300M,2.500M,4.200M
1-Feb-12,10:30,4.200M,3.000M,3.600M
25-Jan-12,10:30,3.600M,0.900M,-3.400M
19-Jan-12,11:00,-3.400M,2.900M,5.000M
11-Jan-12,10:30,5.000M,1.000M,2.200M
5-Jan-12,11:00,2.200M,-1.200M,3.900M
29-Dec-11,11:00,3.900M,-2.500M,-10.600M
21-Dec-11,10:30,-10.600M,-2.400M,-1.900M
14-Dec-11,10:30,-1.900M,-2.000M,1.300M
7-Dec-11,10:30,1.300M,-1.100M,3.900M
30-Nov-11,10:30,3.900M,1.000M,-6.200M
23-Nov-11,10:30,-6.200M,-0.500M,-1.100M
16-Nov-11,10:30,-1.100M,-1.200M,-1.400M
9-Nov-11,10:30,-1.400M,0.500M,1.800M
2-Nov-11,9:30,1.800M,1.200M,4.700M
26-Oct-11,9:30,4.700M,0.800M,-4.700M
19-Oct-11,9:30,-4.700M,1.800M,1.300M
13-Oct-11,10:00,1.300M,0.800M,-4.700M
5-Oct-11,9:30,-4.700M,1.500M,1.900M
28-Sep-11,9:30,1.900M,1.000M,-7.300M
21-Sep-11,9:30,-7.300M,-1.500M,-6.700M
14-Sep-11,9:30,-6.700M,-3.000M,-4.000M
8-Sep-11,10:00,-4.000M,-2.200M,5.300M
31-Aug-11,9:30,5.300M,0.900M,-2.200M
24-Aug-11,9:30,-2.200M,0.800M,4.200M
17-Aug-11,9:30,4.200M,-0.500M,-5.200M
10-Aug-11,9:30,-5.200M,1.500M,1.000M
3-Aug-11,9:30,1.000M,1.500M,2.300M
27-Jul-11,9:30,2.300M,-1.500M,-3.700M
20-Jul-11,9:30,-3.700M,-1.500M,-3.100M
13-Jul-11,9:30,-3.100M,-2.000M,-0.900M
7-Jul-11,10:00,-0.900M,-2.500M,-4.400M
29-Jun-11,9:30,-4.400M,-1.500M,-1.700M
22-Jun-11,9:30,-1.700M,-1.600M,-3.400M
15-Jun-11,9:30,-3.400M,-1.500M,-4.800M
8-Jun-11,9:30,-4.800M,-1.500M,2.900M
2-Jun-11,10:00,2.900M,-1.800M,0.600M
25-May-11,9:30,0.600M,-1.600M,0.000M
18-May-11,9:30,0.000M,1.500M,3.800M
11-May-11,9:30,3.800M,1.100M,3.400M
4-May-11,9:30,3.400M,1.900M,6.200M
27-Apr-11,9:30,6.200M,1.500M,-2.300M
20-Apr-11,9:30,-2.300M,0.700M,1.600M
13-Apr-11,9:30,1.600M,1.000M,2.000M
6-Apr-11,9:30,2.000M,1.300M,2.900M
30-Mar-11,9:30,2.900M,2.000M,2.100M
23-Mar-11,9:30,2.100M,2.000M,1.700M
16-Mar-11,9:30,1.700M,1.800M,2.500M
9-Mar-11,10:30,2.500M,1.100M,-0.400M
