Release Date,Time,Actual,Forecast,Previous
19-Jan-23,11:00,8.408M,-0.593M,18.962M
11-Jan-23,10:30,18.962M,-2.243M,1.694M
5-Jan-23,11:00,1.694M,1.154M,0.718M
29-Dec-22,11:00,0.718M,-1.520M,-5.894M
21-Dec-22,10:30,-5.894M,-1.657M,10.231M
14-Dec-22,10:30,10.231M,-3.595M,-5.187M
7-Dec-22,10:30,-5.187M,-3.305M,-12.580M
30-Nov-22,10:30,-12.580M,-2.758M,-3.691M
23-Nov-22,10:30,-3.691M,-1.055M,-5.400M
16-Nov-22,10:30,-5.400M,-0.440M,3.925M
9-Nov-22,10:30,3.925M,1.360M,-3.115M
2-Nov-22,9:30,-3.115M,0.367M,2.588M
26-Oct-22,9:30,2.588M,1.029M,-1.725M
19-Oct-22,9:30,-1.725M,1.380M,9.880M
13-Oct-22,10:00,9.880M,1.750M,-1.356M
5-Oct-22,9:30,-1.356M,2.052M,-0.215M
28-Sep-22,9:30,-0.215M,0.443M,1.142M
21-Sep-22,9:30,1.142M,2.161M,2.442M
14-Sep-22,9:30,2.442M,0.833M,8.844M
8-Sep-22,10:00,8.844M,-0.250M,-3.326M
31-Aug-22,9:30,-3.326M,-1.483M,-3.282M
24-Aug-22,9:30,-3.282M,-0.933M,-7.056M
17-Aug-22,9:30,-7.056M,-0.275M,5.458M
10-Aug-22,9:30,5.458M,0.073M,4.467M
3-Aug-22,9:30,4.467M,-0.629M,-4.523M
27-Jul-22,9:30,-4.523M,-1.037M,-0.446M
20-Jul-22,9:30,-0.446M,1.357M,3.254M
13-Jul-22,9:30,3.254M,-0.154M,8.235M
7-Jul-22,10:00,8.235M,-1.043M,-2.762M
29-Jun-22,9:30,-2.762M,-0.569M,-0.386M
29-Jun-22,9:25,-0.386M,,1.956M
15-Jun-22,9:30,1.956M,-1.314M,2.025M
8-Jun-22,9:30,2.025M,-1.917M,-5.068M
2-Jun-22,10:00,-5.068M,-1.350M,-1.019M
25-May-22,9:30,-1.019M,-0.737M,-3.394M
18-May-22,9:30,-3.394M,1.383M,8.487M
11-May-22,9:30,8.487M,-0.457M,1.302M
4-May-22,9:30,1.302M,-0.829M,0.692M
27-Apr-22,9:30,0.692M,2.000M,-8.020M
20-Apr-22,9:30,-8.020M,2.471M,9.382M
13-Apr-22,9:30,9.382M,0.863M,2.421M
6-Apr-22,9:30,2.421M,-2.056M,-3.449M
30-Mar-22,9:30,-3.449M,-1.022M,-2.508M
23-Mar-22,9:30,-2.508M,0.114M,4.345M
16-Mar-22,9:30,4.345M,-1.375M,-1.863M
9-Mar-22,10:30,-1.863M,-0.657M,-2.597M
2-Mar-22,10:30,-2.597M,2.748M,4.515M
24-Feb-22,11:00,4.515M,0.442M,1.121M
16-Feb-22,10:30,1.121M,-1.572M,-4.756M
9-Feb-22,10:30,-4.756M,0.369M,-1.046M
2-Feb-22,10:30,-1.046M,1.525M,2.377M
26-Jan-22,10:30,2.377M,-0.728M,0.515M
20-Jan-22,11:00,0.515M,-0.938M,-4.553M
12-Jan-22,10:30,-4.553M,-1.904M,-2.144M
5-Jan-22,10:30,-2.144M,-3.283M,-3.576M
29-Dec-21,10:30,-3.576M,-3.233M,-4.715M
22-Dec-21,10:30,-4.715M,-2.750M,-4.584M
15-Dec-21,10:30,-4.584M,-2.082M,-0.240M
8-Dec-21,10:30,-0.240M,-1.705M,-0.910M
1-Dec-21,10:30,-0.910M,-1.237M,1.017M
24-Nov-21,10:30,1.017M,-0.481M,-2.101M
17-Nov-21,10:30,-2.101M,1.398M,1.001M
10-Nov-21,10:30,1.001M,2.125M,3.291M
3-Nov-21,9:30,3.291M,2.225M,4.267M
27-Oct-21,9:30,4.267M,1.914M,-0.431M
20-Oct-21,9:30,-0.431M,1.857M,6.088M
14-Oct-21,10:00,6.088M,0.702M,2.346M
6-Oct-21,9:30,2.346M,-0.418M,4.578M
29-Sep-21,9:30,4.578M,-1.652M,-3.481M
22-Sep-21,9:30,-3.481M,-2.440M,-6.422M
15-Sep-21,9:30,-6.422M,-3.544M,-1.529M
9-Sep-21,10:00,-1.529M,-4.612M,-7.169M
1-Sep-21,9:30,-7.169M,-3.088M,-2.979M
25-Aug-21,9:30,-2.979M,-2.683M,-3.234M
18-Aug-21,9:30,-3.234M,-1.055M,-0.447M
11-Aug-21,9:30,-0.447M,-1.271M,3.626M
4-Aug-21,9:30,3.626M,-3.102M,-4.089M
28-Jul-21,9:30,-4.089M,-2.928M,2.108M
21-Jul-21,9:30,2.108M,-4.466M,-7.897M
14-Jul-21,9:30,-7.897M,-4.359M,-6.866M
8-Jul-21,10:00,-6.866M,-4.033M,-6.718M
30-Jun-21,9:30,-6.718M,-4.686M,-7.614M
23-Jun-21,9:30,-7.614M,-3.942M,-7.355M
16-Jun-21,9:30,-7.355M,-3.290M,-5.241M
9-Jun-21,9:30,-5.241M,-2.036M,-5.080M
3-Jun-21,10:00,-5.080M,-2.443M,-1.662M
26-May-21,9:30,-1.662M,-1.050M,-0.426M
19-May-21,9:30,1.321M,1.623M,-0.427M
12-May-21,9:30,-0.427M,-2.817M,-7.990M
5-May-21,9:30,-7.990M,-2.346M,0.090M
28-Apr-21,9:30,0.090M,0.659M,0.594M
21-Apr-21,9:30,0.594M,-2.975M,-5.889M
14-Apr-21,9:30,-5.889M,-2.889M,-3.522M
7-Apr-21,9:30,-3.522M,-1.436M,-0.876M
31-Mar-21,9:30,-0.876M,0.107M,1.912M
24-Mar-21,9:30,1.912M,-0.272M,2.396M
17-Mar-21,9:30,2.396M,2.964M,13.798M
10-Mar-21,10:30,13.798M,0.816M,21.563M
3-Mar-21,10:30,21.563M,-0.928M,1.285M
24-Feb-21,10:30,1.285M,-5.190M,-7.258M
18-Feb-21,11:00,-7.258M,-2.429M,-6.644M
10-Feb-21,10:30,-6.644M,0.985M,-0.994M
3-Feb-21,10:30,-0.994M,0.446M,-9.910M
27-Jan-21,10:30,-9.910M,0.430M,4.351M
22-Jan-21,11:00,4.351M,-1.167M,-3.247M
13-Jan-21,10:30,-3.247M,-2.266M,-8.010M
6-Jan-21,10:30,-8.010M,-2.133M,-6.065M
30-Dec-20,10:30,-6.065M,-2.583M,-0.562M
23-Dec-20,10:30,-0.562M,-3.186M,-3.135M
16-Dec-20,10:30,-3.135M,-1.937M,15.189M
9-Dec-20,10:30,15.189M,-1.424M,-0.679M
2-Dec-20,10:30,-0.679M,-2.358M,-0.754M
